transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,previous_success_count,previous_failure_count,historical_success_rate,device_type,channel,transaction_hour,recovery_probability,recovered,recovered_amount
TXN_000028,2905,381.65,Debit Card,Gateway Error,3,2,3,0.4,Mobile,App,14,0.39154587499999993,1,381.65
TXN_000029,475,446.11,Net Banking,Gateway Error,0,5,1,0.8333333333333334,Mobile,App,11,0.861384725,1,446.11
TXN_000030,1083,908.12,UPI,Network Timeout,2,10,4,0.7142857142857143,Desktop,App,7,0.6788011285714285,1,908.12
TXN_000031,2559,2337.89,Credit Card,Bank Decline,0,3,6,0.3333333333333333,Mobile,App,17,0.30665527500000006,0,0.0
TXN_000032,2048,457.64,Credit Card,Network Timeout,2,9,1,0.9,Desktop,App,16,0.7913558999999999,1,457.64
TXN_000033,2748,2277.93,Credit Card,Network Timeout,0,7,1,0.875,Desktop,App,8,0.911805175,1,2277.93
TXN_000034,976,3580.04,Debit Card,Network Timeout,3,5,0,1.0,Desktop,App,15,0.7735499,0,0.0
TXN_000035,1807,502.74,Debit Card,Gateway Error,3,10,4,0.7142857142857143,Mobile,Web,15,0.5798145785714285,1,502.74
TXN_000036,190,492.49,UPI,Insufficient Funds,2,6,1,0.8571428571428571,Mobile,Web,15,0.43555448928571416,0,0.0
TXN_000037,2735,498.45,UPI,Network Timeout,1,5,0,1.0,Mobile,App,2,0.9212538749999999,1,498.45
TXN_000038,563,699.24,Debit Card,Expired Card,0,5,3,0.625,Mobile,App,2,0.33575189999999994,0,0.0
TXN_000039,1900,499.42,Credit Card,Authentication Failure,0,5,2,0.7142857142857143,Mobile,App,23,0.6898228785714287,1,499.42
TXN_000040,1268,1349.3,UPI,Authentication Failure,1,9,1,0.9,Mobile,App,12,0.7291267499999999,1,1349.3
TXN_000041,2880,192.66,Credit Card,Insufficient Funds,2,8,2,0.8,Mobile,App,11,0.40201835,0,0.0
TXN_000042,1529,433.68,UPI,Bank Decline,2,14,3,0.8235294117647058,Mobile,App,23,0.4655334470588235,1,433.68
TXN_000043,647,865.53,Credit Card,Insufficient Funds,2,8,3,0.7272727272727273,Desktop,App,8,0.3566998113636363,0,0.0
TXN_000044,2069,1334.17,UPI,Gateway Error,3,9,3,0.75,Mobile,App,10,0.5991645750000001,0,0.0
TXN_000045,2889,3851.54,Credit Card,Gateway Error,3,16,5,0.7619047619047619,Mobile,App,19,0.6000140071428572,1,3851.54
TXN_000046,2215,237.17,UPI,Insufficient Funds,3,3,0,1.0,Mobile,App,9,0.451907075,1,237.17
TXN_000047,1298,394.79,Debit Card,Authentication Failure,1,12,1,0.9230769230769231,Mobile,Web,11,0.7453591788461538,1,394.79
TXN_000048,2436,108.51,Debit Card,Gateway Error,0,3,1,0.75,Mobile,Web,2,0.8122287250000001,1,108.51
TXN_000049,601,273.72,Credit Card,Network Timeout,1,12,2,0.8571428571428571,Mobile,Web,12,0.836101414285714,1,273.72
TXN_000050,2364,161.56,UPI,Authentication Failure,0,7,2,0.7777777777777778,Desktop,Web,2,0.7287627666666667,0,0.0
TXN_000051,2062,438.33,UPI,Insufficient Funds,2,9,4,0.6923076923076923,Mobile,App,11,0.3367887903846154,1,438.33
TXN_000052,242,554.08,UPI,Insufficient Funds,3,6,1,0.8571428571428571,Mobile,App,16,0.36540051428571413,0,0.0
TXN_000053,2042,968.32,UPI,Gateway Error,0,12,3,0.8,Mobile,Web,16,0.8400792,1,968.32
TXN_000054,2825,523.81,UPI,Expired Card,2,7,2,0.7777777777777778,Desktop,Web,14,0.2878571416666666,0,0.0
TXN_000055,2613,968.69,Debit Card,Gateway Error,2,9,1,0.9,Mobile,App,19,0.760078275,1,968.69
TXN_000056,2946,728.7,Wallet,Bank Decline,1,7,2,0.7777777777777778,Mobile,Web,17,0.5073449166666666,1,728.7
TXN_000057,1364,291.01,UPI,Insufficient Funds,1,7,3,0.7,Mobile,App,4,0.41177247499999997,0,0.0
TXN_000058,2140,172.6,UPI,Network Timeout,1,11,3,0.7857142857142857,Mobile,App,5,0.7934970714285714,1,172.6
TXN_000059,1391,1060.98,Net Banking,Gateway Error,1,9,4,0.6923076923076923,Desktop,App,17,0.7052321653846155,1,1060.98
TXN_000060,1479,2482.95,Credit Card,Insufficient Funds,2,9,1,0.9,Desktop,App,16,0.45629262499999995,0,0.0
TXN_000061,2557,5055.88,UPI,Network Timeout,1,5,0,1.0,Mobile,App,2,0.9098603,1,5055.88
TXN_000062,776,1405.8,Wallet,Network Timeout,1,7,3,0.7,Mobile,App,5,0.7389855,1,1405.8
TXN_000063,35,2134.55,Credit Card,Network Timeout,3,9,1,0.9,Mobile,Web,0,0.717163625,1,2134.55
TXN_000064,2254,962.15,Credit Card,Insufficient Funds,0,7,0,1.0,Mobile,App,13,0.660094625,0,0.0
TXN_000065,1956,846.92,Credit Card,Gateway Error,1,7,0,1.0,Mobile,Web,11,0.8903827000000001,1,846.92
TXN_000066,1586,726.91,UPI,Insufficient Funds,2,7,5,0.5833333333333334,Desktop,Web,19,0.270682725,1,726.91
TXN_000067,1022,611.16,Credit Card,Gateway Error,3,7,1,0.875,Mobile,App,23,0.6759721000000001,1,611.16
TXN_000068,2614,1081.02,UPI,Network Timeout,0,9,1,0.9,Mobile,App,8,0.9297974499999999,1,1081.02
TXN_000069,1130,438.57,Credit Card,Bank Decline,1,12,1,0.9230769230769231,Tablet,Web,6,0.5952497288461539,1,438.57
TXN_000070,1501,591.14,UPI,Bank Decline,2,5,2,0.7142857142857143,Mobile,Web,22,0.3995935785714286,1,591.14
TXN_000071,703,259.21,UPI,Authentication Failure,1,3,3,0.5,Mobile,App,15,0.49185197500000005,0,0.0
TXN_000072,2450,972.57,UPI,Authentication Failure,0,8,1,0.8888888888888888,Mobile,App,3,0.7934019083333333,1,972.57
TXN_000073,2778,308.81,UPI,Expired Card,1,13,2,0.8666666666666667,Desktop,App,6,0.41172797499999997,0,0.0
TXN_000074,1580,683.34,UPI,Authentication Failure,1,6,4,0.6,Mobile,Web,1,0.5507916500000001,1,683.34
TXN_000075,162,992.66,Debit Card,Insufficient Funds,2,10,0,1.0,Mobile,App,7,0.52001835,1,992.66
TXN_000076,202,1062.85,UPI,Bank Decline,0,8,4,0.6666666666666666,Mobile,App,1,0.509842875,1,1062.85
TXN_000077,1982,1233.0,Debit Card,Bank Decline,0,6,1,0.8571428571428571,Mobile,Web,3,0.6237032142857142,0,0.0
TXN_000078,996,560.8,Debit Card,Network Timeout,2,9,1,0.9,Mobile,App,16,0.791098,1,560.8
TXN_000079,2318,981.27,UPI,Expired Card,0,7,2,0.7777777777777778,Mobile,App,16,0.4267134916666666,1,981.27
TXN_000080,816,450.65,UPI,Bank Decline,0,7,0,1.0,Desktop,Web,6,0.7113733750000001,1,450.65
TXN_000081,456,137.46,Debit Card,Bank Decline,1,7,0,1.0,Desktop,App,11,0.6421563500000002,1,137.46
TXN_000082,1276,1016.63,Credit Card,Insufficient Funds,3,16,2,0.8888888888888888,Desktop,Web,11,0.38329175833333323,0,0.0
TXN_000083,1017,844.54,Net Banking,Bank Decline,0,8,0,1.0,Mobile,App,9,0.7103886500000001,1,844.54
TXN_000084,2344,1496.16,Credit Card,Authentication Failure,4,7,0,1.0,Mobile,App,11,0.5787596,0,0.0
TXN_000085,2768,651.82,Credit Card,Bank Decline,1,11,1,0.9166666666666666,Mobile,Web,16,0.59087045,0,0.0
TXN_000086,338,184.47,Debit Card,Bank Decline,2,14,2,0.875,Tablet,Web,4,0.49703882499999996,0,0.0
TXN_000087,879,618.13,UPI,Gateway Error,0,7,2,0.7777777777777778,Desktop,App,16,0.8276213416666667,1,618.13
TXN_000088,1077,1351.9,Credit Card,Gateway Error,0,5,2,0.7142857142857143,Mobile,App,22,0.7876916785714286,0,0.0
TXN_000089,792,973.43,UPI,Gateway Error,0,4,1,0.8,Tablet,Web,5,0.8400664250000001,1,973.43
TXN_000090,2265,591.47,UPI,Insufficient Funds,1,8,4,0.6666666666666666,Mobile,App,17,0.391021325,0,0.0
TXN_000091,764,175.77,UPI,Expired Card,2,9,2,0.8181818181818182,Mobile,Web,23,0.3129696659090909,0,0.0
TXN_000092,2236,292.71,Credit Card,Network Timeout,0,11,0,1.0,Mobile,App,20,0.95,1,292.71
TXN_000093,380,974.37,Debit Card,Bank Decline,0,7,2,0.7777777777777778,Mobile,App,10,0.5767307416666666,0,0.0
TXN_000094,493,175.54,UPI,Authentication Failure,1,11,2,0.8461538461538461,Mobile,App,12,0.6997534576923076,1,175.54
TXN_000095,1181,515.64,Debit Card,Expired Card,0,5,3,0.625,Mobile,App,21,0.3362109,0,0.0
TXN_000096,2063,685.9,UPI,Bank Decline,0,6,3,0.6666666666666666,Mobile,App,19,0.51078525,1,685.9
TXN_000097,65,1668.95,UPI,Gateway Error,1,8,0,1.0,Mobile,App,18,0.8883276250000001,1,1668.95
TXN_000098,2569,1087.45,Net Banking,Authentication Failure,1,12,1,0.9230769230769231,Mobile,App,23,0.7436275288461538,1,1087.45
TXN_000099,1368,1436.91,UPI,Gateway Error,2,10,2,0.8333333333333334,Mobile,App,22,0.718907725,1,1436.91
TXN_000100,1153,846.82,UPI,Gateway Error,1,7,1,0.875,Tablet,Web,22,0.8153829499999999,1,846.82
TXN_000101,2028,338.21,UPI,Authentication Failure,2,4,3,0.5714285714285714,Mobile,App,1,0.46451161785714284,1,338.21
TXN_000102,2696,407.11,UPI,Network Timeout,0,5,3,0.625,Mobile,Web,12,0.7664822249999999,1,407.11
TXN_000103,1496,315.41,UPI,Network Timeout,1,4,4,0.5,Mobile,App,2,0.6217114749999999,0,0.0
TXN_000104,1163,1067.02,UPI,Network Timeout,0,10,2,0.8333333333333334,Mobile,App,0,0.8898324499999999,1,1067.02
TXN_000105,1523,381.79,Credit Card,Network Timeout,2,7,4,0.6363636363636364,Mobile,App,4,0.6333637068181817,1,381.79
TXN_000106,2641,485.32,UPI,Authentication Failure,0,12,5,0.7058823529411765,Mobile,App,22,0.6848161117647059,1,485.32
TXN_000107,392,677.22,Credit Card,Insufficient Funds,0,9,0,1.0,Mobile,App,18,0.66080695,0,0.0
TXN_000108,1699,2472.66,Net Banking,Gateway Error,0,5,5,0.5,Desktop,App,23,0.65631835,1,2472.66
TXN_000109,419,1125.19,UPI,Authentication Failure,2,7,3,0.7,Desktop,App,18,0.539687025,0,0.0
TXN_000110,2337,358.42,Credit Card,Bank Decline,2,13,3,0.8125,Mobile,App,7,0.45910395000000004,1,358.42
TXN_000111,379,751.05,UPI,Network Timeout,0,11,2,0.8461538461538461,Mobile,App,13,0.8983146826923075,1,751.05
TXN_000112,1797,2492.52,UPI,Insufficient Funds,0,10,2,0.8333333333333334,Desktop,App,16,0.5562687,1,2492.52
TXN_000113,2279,1088.05,Debit Card,Network Timeout,0,9,4,0.6923076923076923,Mobile,Web,3,0.8051644903846154,0,0.0
TXN_000114,2089,185.19,Credit Card,Insufficient Funds,0,8,1,0.8888888888888888,Desktop,App,20,0.5953703583333333,1,185.19
TXN_000115,2183,319.84,UPI,Gateway Error,0,6,0,1.0,Mobile,App,15,0.95,1,319.84
TXN_000116,201,300.8,UPI,Bank Decline,1,9,0,1.0,Desktop,Web,21,0.6417480000000001,0,0.0
TXN_000117,1864,2106.08,UPI,Network Timeout,2,8,2,0.8,Mobile,App,22,0.7272348000000001,1,2106.08
TXN_000118,780,1817.15,Debit Card,Insufficient Funds,0,7,0,1.0,Desktop,Web,4,0.657957125,1,1817.15
TXN_000119,2978,403.42,Debit Card,Bank Decline,0,6,4,0.6,Mobile,Web,12,0.47149145,0,0.0
TXN_000120,503,396.52,UPI,Authentication Failure,3,6,3,0.6666666666666666,Mobile,Web,23,0.4515087,0,0.0
TXN_000121,2455,689.35,UPI,Authentication Failure,0,7,2,0.7777777777777778,Mobile,App,7,0.7274432916666667,1,689.35
TXN_000122,1752,706.08,UPI,Network Timeout,1,13,2,0.8666666666666667,Mobile,App,22,0.8407347999999999,0,0.0
TXN_000123,805,308.01,Debit Card,Gateway Error,3,5,1,0.8333333333333334,Mobile,App,12,0.6517299749999999,1,308.01
TXN_000124,2147,544.95,Credit Card,Expired Card,2,6,2,0.75,Mobile,Web,10,0.271137625,0,0.0
TXN_000125,2732,207.91,UPI,Network Timeout,0,8,1,0.8888888888888888,Mobile,Web,18,0.9253135583333333,1,207.91
TXN_000126,1896,1840.62,UPI,Network Timeout,2,11,3,0.7857142857142857,Mobile,Web,13,0.7193270214285714,1,1840.62
TXN_000127,2774,162.67,UPI,Insufficient Funds,1,10,2,0.8333333333333334,Desktop,App,22,0.4920933249999999,1,162.67
TXN_000128,1571,161.23,UPI,Bank Decline,0,5,2,0.7142857142857143,Desktop,App,21,0.5406683535714286,1,161.23
TXN_000129,961,942.02,Debit Card,Authentication Failure,3,9,3,0.75,Mobile,App,0,0.50014495,0,0.0
TXN_000130,2661,247.27,UPI,Bank Decline,2,8,3,0.7272727272727273,Mobile,App,5,0.4082454613636364,0,0.0
TXN_000131,1486,445.51,Net Banking,Gateway Error,0,9,2,0.8181818181818182,Mobile,App,0,0.8522953159090909,1,445.51
TXN_000132,2691,699.62,Credit Card,Bank Decline,2,9,3,0.75,Desktop,App,14,0.42075095,0,0.0
TXN_000133,1029,1141.66,UPI,Gateway Error,1,14,2,0.875,Mobile,Web,10,0.8146458499999999,0,0.0
TXN_000134,503,557.32,Credit Card,Authentication Failure,2,6,3,0.6666666666666666,Mobile,App,23,0.5211067,1,557.32
TXN_000135,2815,2760.97,UPI,Insufficient Funds,1,6,1,0.8571428571428571,Mobile,App,5,0.4998832892857142,0,0.0
TXN_000136,398,664.91,UPI,Insufficient Funds,0,8,1,0.8888888888888888,Mobile,App,21,0.5941710583333333,0,0.0
TXN_000137,871,1724.4,Wallet,Gateway Error,2,10,3,0.7692307692307693,Mobile,Web,22,0.6797274615384615,0,0.0
TXN_000138,2843,831.18,Credit Card,Network Timeout,3,6,1,0.8571428571428571,Mobile,Web,9,0.6947077642857141,1,831.18
TXN_000139,393,3659.08,UPI,Insufficient Funds,3,5,3,0.625,Mobile,Web,4,0.21835229999999992,0,0.0
TXN_000140,207,1551.06,UPI,Gateway Error,2,10,1,0.9090909090909091,Desktop,App,18,0.7640768954545454,1,1551.06
TXN_000141,1039,688.68,UPI,Gateway Error,0,10,4,0.7142857142857143,Desktop,App,17,0.7893497285714286,1,688.68
TXN_000142,1882,1100.0,UPI,Gateway Error,1,10,3,0.7692307692307693,Mobile,App,14,0.7512884615384615,0,0.0
TXN_000143,2940,539.88,UPI,Authentication Failure,3,7,3,0.7,Desktop,Web,7,0.4711503,1,539.88
TXN_000144,1485,535.54,UPI,Insufficient Funds,1,11,1,0.9166666666666666,Mobile,App,21,0.54116115,0,0.0
TXN_000145,864,234.46,Credit Card,Insufficient Funds,3,5,0,1.0,Mobile,Web,1,0.45191385,1,234.46
TXN_000146,2791,348.41,Debit Card,Authentication Failure,0,4,0,1.0,Desktop,App,20,0.8616289750000001,0,0.0
TXN_000147,564,3459.15,UPI,Bank Decline,2,11,1,0.9166666666666666,Mobile,App,22,0.513852125,0,0.0
TXN_000148,1021,253.86,Credit Card,Insufficient Funds,2,8,2,0.8,Mobile,App,2,0.40186535,0,0.0
TXN_000149,96,393.71,UPI,Authentication Failure,1,8,3,0.7272727272727273,Mobile,App,23,0.6278793613636364,1,393.71
TXN_000150,1924,617.1,UPI,Bank Decline,3,6,3,0.6666666666666666,Mobile,Web,5,0.30095724999999995,0,0.0
TXN_000151,1758,633.76,Credit Card,Authentication Failure,1,11,4,0.7333333333333333,Mobile,App,17,0.6309155999999999,1,633.76
TXN_000152,2533,904.14,Debit Card,Bank Decline,3,7,2,0.7777777777777778,Mobile,Web,22,0.3669063166666666,0,0.0
TXN_000153,2279,457.01,UPI,Insufficient Funds,0,9,4,0.6923076923076923,Mobile,Web,20,0.4767420903846154,0,0.0
TXN_000154,2797,949.85,UPI,Expired Card,1,6,3,0.6666666666666666,Mobile,App,6,0.29012537499999996,0,0.0
TXN_000155,1679,1658.9,Wallet,Authentication Failure,0,12,3,0.8,Mobile,Web,22,0.7383527500000001,1,1658.9
TXN_000156,541,1832.26,Debit Card,Insufficient Funds,0,7,2,0.7777777777777778,Desktop,App,15,0.5245860166666666,0,0.0
TXN_000157,1060,537.0,UPI,Gateway Error,0,12,2,0.8571428571428571,Mobile,App,2,0.8754432142857143,1,537.0
TXN_000158,2573,1084.72,UPI,Insufficient Funds,1,12,1,0.9230769230769231,Desktop,Web,1,0.5436343538461539,1,1084.72
TXN_000159,1184,265.89,Net Banking,Bank Decline,0,11,4,0.7333333333333333,Mobile,App,10,0.551835275,1,265.89
TXN_000160,1723,373.39,UPI,Bank Decline,1,7,2,0.7777777777777778,Mobile,Web,19,0.5082331916666667,0,0.0
TXN_000161,1820,260.09,UPI,Network Timeout,1,10,2,0.8333333333333334,Mobile,Web,23,0.8218497749999998,1,260.09
TXN_000162,2626,641.24,UPI,Bank Decline,1,9,2,0.8181818181818182,Mobile,App,2,0.531805990909091,0,0.0
TXN_000163,2730,334.5,Credit Card,Authentication Failure,3,9,1,0.9,Desktop,App,9,0.59166375,0,0.0
TXN_000164,2605,197.05,UPI,Authentication Failure,2,7,1,0.875,Mobile,App,1,0.647007375,0,0.0
TXN_000165,1598,488.43,Credit Card,Gateway Error,0,11,3,0.7857142857142857,Mobile,App,18,0.8327074964285714,1,488.43
TXN_000166,2694,166.86,UPI,Gateway Error,0,8,3,0.7272727272727273,Mobile,App,0,0.7984464863636364,0,0.0
TXN_000167,796,1923.22,Credit Card,Gateway Error,3,7,4,0.6363636363636364,Mobile,App,5,0.5295101318181817,1,1923.22
TXN_000168,1052,425.81,UPI,Expired Card,2,7,6,0.5384615384615384,Desktop,App,4,0.1445123980769231,0,0.0
TXN_000169,1644,1463.01,UPI,Bank Decline,2,4,2,0.6666666666666666,Mobile,App,3,0.368842475,0,0.0
TXN_000170,1364,448.7,Credit Card,Network Timeout,2,7,3,0.7,Mobile,Web,6,0.6713782500000001,1,448.7
TXN_000171,1982,255.71,Wallet,Network Timeout,2,6,1,0.8571428571428571,Desktop,Web,2,0.7661464392857141,1,255.71
TXN_000172,1355,1703.46,Net Banking,Insufficient Funds,1,6,1,0.8571428571428571,Mobile,App,13,0.5025270642857141,0,0.0
TXN_000173,1664,714.06,UPI,Authentication Failure,1,10,1,0.9090909090909091,Mobile,App,15,0.7361693954545454,1,714.06
TXN_000174,1530,3009.49,Credit Card,Authentication Failure,3,14,1,0.9333333333333333,Mobile,Web,5,0.6049762750000001,1,3009.49
TXN_000175,2039,457.96,Credit Card,Network Timeout,0,7,1,0.875,Mobile,App,17,0.9163551,1,457.96
TXN_000176,1497,465.94,Credit Card,Gateway Error,0,11,1,0.9166666666666666,Mobile,App,17,0.91133515,0,0.0
TXN_000177,2238,1485.98,Debit Card,Expired Card,1,14,2,0.875,Mobile,App,10,0.41378505,1,1485.98
TXN_000178,1409,1494.28,Wallet,Insufficient Funds,3,8,2,0.8,Desktop,App,14,0.3287643,0,0.0
TXN_000179,1401,752.01,UPI,Insufficient Funds,1,11,4,0.7333333333333333,Desktop,App,13,0.4306199749999999,1,752.01
TXN_000180,1307,9587.49,Debit Card,Insufficient Funds,3,14,3,0.8235294117647058,Mobile,App,21,0.32264892205882345,0,0.0
TXN_000181,2681,531.42,UPI,Network Timeout,3,8,3,0.7272727272727273,Mobile,App,13,0.6175350863636364,1,531.42
TXN_000182,2676,240.91,Net Banking,Gateway Error,2,7,3,0.7,Tablet,App,18,0.641897725,0,0.0
TXN_000183,973,298.26,Debit Card,Authentication Failure,4,9,1,0.9,Desktop,Web,18,0.52175435,1,298.26
TXN_000184,1769,533.9,Credit Card,Network Timeout,2,11,1,0.9166666666666666,Mobile,App,6,0.8011652499999999,0,0.0
TXN_000185,1283,2241.77,Debit Card,Network Timeout,0,15,2,0.8823529411764706,Mobile,App,0,0.9163073397058824,1,2241.77
TXN_000186,710,573.02,Credit Card,Expired Card,0,4,2,0.6666666666666666,Mobile,App,5,0.36106744999999996,1,573.02
TXN_000187,1480,2328.18,Credit Card,Gateway Error,2,7,2,0.7777777777777778,Mobile,App,13,0.6833462166666666,1,2328.18
TXN_000188,1435,941.56,Net Banking,Network Timeout,1,13,1,0.9285714285714286,Desktop,App,1,0.877288957142857,1,941.56
TXN_000189,649,1582.4,UPI,Bank Decline,1,13,5,0.7222222222222222,Mobile,App,22,0.4718773333333333,0,0.0
TXN_000190,318,906.63,Wallet,Gateway Error,3,8,1,0.8888888888888888,Tablet,App,1,0.6835667583333334,1,906.63
TXN_000191,1258,900.9,UPI,Authentication Failure,0,4,3,0.5714285714285714,Mobile,App,18,0.6031048928571429,1,900.9
TXN_000192,684,1214.6,Credit Card,Gateway Error,1,3,2,0.6,Mobile,App,21,0.6494634999999999,1,1214.6
TXN_000193,664,422.69,UPI,Network Timeout,1,10,0,1.0,Mobile,App,10,0.9214432749999999,1,422.69
TXN_000194,1999,426.42,UPI,Authentication Failure,2,7,0,1.0,Mobile,App,17,0.7214339500000001,0,0.0
TXN_000195,1632,879.75,Credit Card,Insufficient Funds,2,12,2,0.8571428571428571,Desktop,App,8,0.43458633928571416,0,0.0
TXN_000196,1496,3142.86,UPI,Expired Card,2,4,4,0.5,Mobile,App,4,0.11464284999999999,0,0.0
TXN_000197,1137,193.91,Net Banking,Network Timeout,1,10,2,0.8333333333333334,Desktop,App,21,0.8220152249999998,1,193.91
TXN_000198,1854,131.19,UPI,Authentication Failure,2,6,2,0.75,Mobile,App,11,0.5721720250000001,0,0.0
TXN_000199,1521,538.62,UPI,Insufficient Funds,1,11,1,0.9166666666666666,Mobile,App,22,0.54115345,1,538.62
TXN_000200,2490,1517.28,Net Banking,Authentication Failure,0,6,1,0.8571428571428571,Desktop,App,2,0.7729925142857142,0,0.0
TXN_000201,564,693.05,Debit Card,Authentication Failure,1,11,1,0.9166666666666666,Mobile,App,19,0.740767375,1,693.05
TXN_000202,1292,261.0,Credit Card,Gateway Error,0,9,2,0.8181818181818182,Mobile,Web,23,0.852756590909091,1,261.0
TXN_000203,1637,708.59,UPI,Authentication Failure,1,10,1,0.9090909090909091,Tablet,App,14,0.7361830704545453,1,708.59
TXN_000204,3000,166.27,Debit Card,Bank Decline,0,11,2,0.8461538461538461,Mobile,App,4,0.6197766326923076,1,166.27
TXN_000205,699,1100.08,UPI,Authentication Failure,0,6,1,0.8571428571428571,Mobile,App,13,0.7740355142857143,1,1100.08
TXN_000206,2161,519.42,Wallet,Network Timeout,2,10,3,0.7692307692307693,Mobile,App,21,0.7127399115384616,1,519.42
TXN_000207,2,622.89,Credit Card,Authentication Failure,1,9,3,0.75,Mobile,App,14,0.6409427750000001,0,0.0
TXN_000208,642,936.12,Debit Card,Authentication Failure,1,5,1,0.8333333333333334,Tablet,Web,18,0.6901596999999999,1,936.12
TXN_000209,2268,784.11,Debit Card,Network Timeout,0,6,1,0.8571428571428571,Desktop,Web,9,0.9048254392857141,1,784.11
TXN_000210,1590,431.38,Credit Card,Gateway Error,3,5,3,0.625,Mobile,App,9,0.5264215499999999,1,431.38
TXN_000211,855,1520.65,Debit Card,Network Timeout,2,9,1,0.9,Desktop,App,9,0.788698375,1,1520.65
TXN_000212,1760,1258.34,Credit Card,Insufficient Funds,0,6,1,0.8571428571428571,Mobile,App,6,0.5736398642857141,1,1258.34
TXN_000213,2433,160.87,UPI,Network Timeout,2,11,2,0.8461538461538461,Mobile,App,23,0.7597901326923076,0,0.0
TXN_000214,1662,553.25,UPI,Insufficient Funds,2,3,1,0.75,Mobile,Web,21,0.371116875,0,0.0
TXN_000215,1154,280.27,UPI,Network Timeout,0,9,2,0.8181818181818182,Mobile,Web,4,0.8827084159090909,1,280.27
TXN_000216,1077,241.18,Debit Card,Insufficient Funds,2,5,2,0.7142857142857143,Desktop,App,23,0.35046847857142854,1,241.18
TXN_000217,1708,1020.56,Credit Card,Bank Decline,1,4,2,0.6666666666666666,Tablet,App,13,0.4399486,0,0.0
TXN_000218,2778,475.61,Credit Card,Authentication Failure,1,13,2,0.8666666666666667,Mobile,Web,17,0.711310975,1,475.61
TXN_000219,1696,593.35,Debit Card,Insufficient Funds,0,10,4,0.7142857142857143,Mobile,App,15,0.48958805357142854,0,0.0
